Longitude,Latitude,Site_Name,Radiocarbon Age bp,Standard Deviation,lower 2 sigma calibrated date  (using OxCal),upper 2 sigma calibrated date,Calibrated 2 sigma range  median ,Lab Number,Country/State,Reference
-80.63,-1.92,Loma Alta,2512,80,2730,2350,2537,Beta-103315,Ecuador,(2730Ð2350 cal B.P. at two-sigmas; Beta-103315 Zarillo et al 2008:5007) estimated using oxcal with 2512 +/- 80
-77.74,-10.82,Aspero,2495,38,2703,2354,2494,AA-81908,Peru,Shady (in report to Shady by Blake and Benz 2009)
-69.73,-19.48,Tiliviche,920,32,,,,AA-56416,Chile,
-70.46,-30.7,Pichasca,1025,NA,,,,GX-21748,Chile,
-69.12,-21.26,Guatacondo,1865,NA,,,0,UCLA-1698c,Chile,
-69.51,-21.2,Ramaditas,2210,55,,,0,GX-21725,Chile,Rivera 2005 (table 4)
-68.5,-34.7,Gruta del Indio,2065,40,,,0,GrN-5396,Argentina  ,Gil 2003:297
-67.34,-26.03,Punta de la Pena,560,,,,0,,Argentina,
-69.88,-34.76,El Indigeno,1045,45,,,0,AA-26192,,
-68.187,-35.439,Puesto Ortubia,910,40,,,0,AA-26197,,
-68.158,-35.435,Agua de Los Caballos,740,40,,,0,AA-26194,,
-88.29,14.85,El Gigante,2280,40,,,0,Beta-159055,Honduras,Scheffler 2008
-94.04,18,San Andres,2565,45,,,0,AA-33923,Mexico,Pope et al. 2001:1372
-108.126125,30.92465,Cerro Juanaque–a,3130,55,3455,3215,3354,NSRL-12484,Mexico/Chihuahua,Merrill et al. 2009
-110.68,30.29,La Playa,3000,NA,,,0,NA,Mexico,Matson 2003:345; Carpenter ref.?
-92.44976,14.89096,San Carlos,3365,55,,,0,Beta-62911,Mexico,Clark 1994; Blake et al. 1995:164
-92.210039,14.727158,Cuauhtemoc,3225,15,,,0,UCIAMS-7033,Mexico,Rosenswig (pers comm)
-99.522917,23.087667,Valenzuela's Cave,3890,60,,,0,Beta-85433,Mexico,Smith 1997:374
-99.522917,23.087667,Romero's Cave,3930,50,,,0,Beta-85431,Mexico,Smith 1997:373
-97.17,18.45,San Marcos Cave,4700,110,,,0,AA-3311,Mexico,Long et al. 1989:1037
-96.413556,16.941111,Guila Naquitz,5420,60,,,0,Beta-132511,Mexico,Piperno and Flannery 2001:2102
-82.87,39.84,Harness Mound,1730,85,,,,NA,US North East,
-84.95,36.32,Icehouse Bottom,1775,100,,,,Beta-16576,,
-89.93,38.23,Holding (Cahokia),2077,70,,,,AA-8717,,
-72.19,41,Sebonac,555,85,,,,P-15788,,"Little (2002) #9) Ny, Sebonac, L.I., P-15788 (Ceci 1990) 555 ± 85b 1280(1400)1480"
-70.55,43.69,Saco River,600,40,,,,P-102060,,"Little (2002) #10) ME, Saco R., P-102060, cupule (Asch Sidell 1999:192) 600 ± 40b 1300(1330,1350,1390)1420"
-74.124,40.62,Bowmans Brook,610,60,,,,P-15769,,"Little (2002) #11) NY, Hudson R., Staten I., Bowmans Brook, P-15769 (Ceci 1990) 610 ± 60 -11.64 1280(1320,1350,1390)1430"
-72.58,41.78,Burnham-Shepard,620,70,,,,"P-27676,",,"Little (2002) #12) CT, Conn. R., Bernhm-Shep., P-27676, k (Bendremer et al. 1994) 620 ± 70 1280(1320,1350,1390)1430"
-70.04,41.75,Cape Cod,620,59,,,,GX-19319,,"Little (2002) #13) MA, Cape Cod, 19BN811, GX-19319, k (Strauss 1994; Little 1994) 620 ± 59b -10.1 1280(1320,1350,1390)1430"
-73.04,41.31,Housatonic River,690,60,,,,P-84973,,"Little (2002) #14) CT, Housatonic R., 294A, 25-2(9), P-84973 (Cassedy & Webb 1999) 690 ± 60b 1220(1290)1400"
